year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,F_TL
2022,BGD,Bangladesh,BD,Barisal,BD10,Barguna,BD1004,472401
2022,BGD,Bangladesh,BD,Barisal,BD10,Barisal,BD1006,1150901
2022,BGD,Bangladesh,BD,Barisal,BD10,Bhola,BD1009,911898
2022,BGD,Bangladesh,BD,Barisal,BD10,Jhalokati,BD1042,341741
2022,BGD,Bangladesh,BD,Barisal,BD10,Patuakhali,BD1078,811884
2022,BGD,Bangladesh,BD,Barisal,BD10,Pirojpur,BD1079,554514
2022,BGD,Bangladesh,BD,Chittagong,BD20,Bandarban,BD2003,240454
2022,BGD,Bangladesh,BD,Chittagong,BD20,Brahamanbaria,BD2012,1735028
2022,BGD,Bangladesh,BD,Chittagong,BD20,Chandpur,BD2013,1334480
2022,BGD,Bangladesh,BD,Chittagong,BD20,Chittagong,BD2015,4324526
2022,BGD,Bangladesh,BD,Chittagong,BD20,Comilla,BD2019,3345743
2022,BGD,Bangladesh,BD,Chittagong,BD20,Cox's Bazar,BD2022,1431768
2022,BGD,Bangladesh,BD,Chittagong,BD20,Feni,BD2030,856967
2022,BGD,Bangladesh,BD,Chittagong,BD20,Khagrachhari,BD2046,348974
2022,BGD,Bangladesh,BD,Chittagong,BD20,Lakshmipur,BD2051,1040601
2022,BGD,Bangladesh,BD,Chittagong,BD20,Noakhali,BD2075,1962015
2022,BGD,Bangladesh,BD,Chittagong,BD20,Rangamati,BD2084,330841
2022,BGD,Bangladesh,BD,Dhaka,BD30,Dhaka,BD3026,8318506
2022,BGD,Bangladesh,BD,Dhaka,BD30,Faridpur,BD3029,1052429
2022,BGD,Bangladesh,BD,Dhaka,BD30,Gazipur,BD3033,2934036
2022,BGD,Bangladesh,BD,Dhaka,BD30,Gopalganj,BD3035,586733
2022,BGD,Bangladesh,BD,Dhaka,BD30,Kishoreganj,BD3048,1648845
2022,BGD,Bangladesh,BD,Dhaka,BD30,Madaripur,BD3054,587900
2022,BGD,Bangladesh,BD,Dhaka,BD30,Manikganj,BD3056,776478
2022,BGD,Bangladesh,BD,Dhaka,BD30,Munshiganj,BD3059,800679
2022,BGD,Bangladesh,BD,Dhaka,BD30,Narayanganj,BD3067,1938857
2022,BGD,Bangladesh,BD,Dhaka,BD30,Narsingdi,BD3068,1304990
2022,BGD,Bangladesh,BD,Dhaka,BD30,Rajbari,BD3082,578250
2022,BGD,Bangladesh,BD,Dhaka,BD30,Shariatpur,BD3086,631027
2022,BGD,Bangladesh,BD,Dhaka,BD30,Tangail,BD3093,2012080
2022,BGD,Bangladesh,BD,Khulna,BD40,Bagerhat,BD4001,686632
2022,BGD,Bangladesh,BD,Khulna,BD40,Chuadanga,BD4018,625762
2022,BGD,Bangladesh,BD,Khulna,BD40,Jessore,BD4041,1521561
2022,BGD,Bangladesh,BD,Khulna,BD40,Jhenaidah,BD4044,981736
2022,BGD,Bangladesh,BD,Khulna,BD40,Khulna,BD4047,1107861
2022,BGD,Bangladesh,BD,Khulna,BD40,Kushtia,BD4050,1080815
2022,BGD,Bangladesh,BD,Khulna,BD40,Magura,BD4055,512689
2022,BGD,Bangladesh,BD,Khulna,BD40,Meherpur,BD4057,362691
2022,BGD,Bangladesh,BD,Khulna,BD40,Narail,BD4065,374398
2022,BGD,Bangladesh,BD,Khulna,BD40,Satkhira,BD4087,1051511
2022,BGD,Bangladesh,BD,Mymensingh,BD45,Jamalpur,BD4539,1256882
2022,BGD,Bangladesh,BD,Mymensingh,BD45,Mymensingh,BD4561,2913595
2022,BGD,Bangladesh,BD,Mymensingh,BD45,Netrakona,BD4572,1242648
2022,BGD,Bangladesh,BD,Mymensingh,BD45,Sherpur,BD4589,713660
2022,BGD,Bangladesh,BD,Rajshahi,BD50,Bogra,BD5010,1895517
2022,BGD,Bangladesh,BD,Rajshahi,BD50,Joypurhat,BD5038,485423
2022,BGD,Bangladesh,BD,Rajshahi,BD50,Naogaon,BD5064,1396389
2022,BGD,Bangladesh,BD,Rajshahi,BD50,Natore,BD5069,946157
2022,BGD,Bangladesh,BD,Rajshahi,BD50,Nawabganj,BD5070,956454
2022,BGD,Bangladesh,BD,Rajshahi,BD50,Pabna,BD5076,1452545
2022,BGD,Bangladesh,BD,Rajshahi,BD50,Rajshahi,BD5081,1445651
2022,BGD,Bangladesh,BD,Rajshahi,BD50,Sirajganj,BD5088,1763515
2022,BGD,Bangladesh,BD,Rangpur,BD55,Dinajpur,BD5527,1658216
2022,BGD,Bangladesh,BD,Rangpur,BD55,Gaibandha,BD5532,1336663
2022,BGD,Bangladesh,BD,Rangpur,BD55,Kurigram,BD5549,1217362
2022,BGD,Bangladesh,BD,Rangpur,BD55,Lalmonirhat,BD5552,702472
2022,BGD,Bangladesh,BD,Rangpur,BD55,Nilphamari,BD5573,1057235
2022,BGD,Bangladesh,BD,Rangpur,BD55,Panchagarh,BD5577,574806
2022,BGD,Bangladesh,BD,Rangpur,BD55,Rangpur,BD5585,1614582
2022,BGD,Bangladesh,BD,Rangpur,BD55,Thakurgaon,BD5594,779190
2022,BGD,Bangladesh,BD,Sylhet,BD60,Habiganj,BD6036,1256881
2022,BGD,Bangladesh,BD,Sylhet,BD60,Maulvibazar,BD6058,1153594
2022,BGD,Bangladesh,BD,Sylhet,BD60,Sunamganj,BD6090,1507469
2022,BGD,Bangladesh,BD,Sylhet,BD60,Sylhet,BD6091,2331126
