ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,NAME_3,ADM3_PCODE,F_TL
Bangladesh,BD,Barisal,BD10,Barguna,BD1004,Amtali,BD100409,142076
Bangladesh,BD,Barisal,BD10,Barguna,BD1004,Bamna,BD100419,45359
Bangladesh,BD,Barisal,BD10,Barguna,BD1004,Barguna Sadar,BD100428,144335
Bangladesh,BD,Barisal,BD10,Barguna,BD1004,Betagi,BD100447,58208
Bangladesh,BD,Barisal,BD10,Barguna,BD1004,Patharghata,BD100485,82423
Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Agailjhara,BD100602,72196
Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Babuganj,BD100603,67993
Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Bakerganj,BD100607,141679
Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Banari Para,BD100610,71150
Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Gaurnadi,BD100632,99070
Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Hizla,BD100636,58497
Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Barisal Sadar (Kotwali),BD100651,290844
Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Mehendiganj,BD100662,148318
Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Muladi,BD100669,85548
Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Wazirpur,BD100694,115606
Bangladesh,BD,Barisal,BD10,Bhola,BD1009,Bhola Sadar,BD100918,223550
Bangladesh,BD,Barisal,BD10,Bhola,BD1009,Burhanuddin,BD100921,110314
Bangladesh,BD,Barisal,BD10,Bhola,BD1009,Char Fasson,BD100925,246480
Bangladesh,BD,Barisal,BD10,Bhola,BD1009,Daulatkhan,BD100929,80288
Bangladesh,BD,Barisal,BD10,Bhola,BD1009,Lalmohan,BD100954,145277
Bangladesh,BD,Barisal,BD10,Bhola,BD1009,Manpura,BD100965,42332
Bangladesh,BD,Barisal,BD10,Bhola,BD1009,Tazumuddin,BD100991,63657
Bangladesh,BD,Barisal,BD10,Jhalokati,BD1042,Jhalokati Sadar,BD104240,118313
Bangladesh,BD,Barisal,BD10,Jhalokati,BD1042,Kanthalia,BD104243,59374
Bangladesh,BD,Barisal,BD10,Jhalokati,BD1042,Nalchity,BD104273,88568
