Code,Prefecture,Jpref
1,Hokkaido,北海道
2,Aomori,青森
3,Iwate,岩手
4,Miyagi,宮城
5,Akita,秋田
6,Yamagata,山形
7,Fukushima,福島
8,Ibaraki,茨城
9,Tochigi,栃木
10,Gunma,群馬
11,Saitama,埼玉
12,Chiba,千葉
13,Tokyo,東京
14,Kanagawa,神奈川
15,Niigata,新潟
16,Toyama,富山
17,Ishikawa,石川
18,Fukui,福井
19,Yamanashi,山梨
20,Nagano,長野
21,Gifu,岐阜
22,Shizuoka,静岡
23,Aichi,愛知
24,Mie,三重
25,Shiga,滋賀
26,Kyoto,京都
27,Osaka,大阪
28,Hyogo,兵庫
29,Nara,奈良
30,Wakayama,和歌山
31,Tottori,鳥取
32,Shimane,島根
33,Okayama,岡山
34,Hiroshima,広島
35,Yamaguchi,山口
36,Tokushima,徳島
37,Kagawa,香川
38,Ehime,愛媛
39,Kochi,高知
40,Fukuoka,福岡
41,Saga,佐賀
42,Nagasaki,長崎
43,Kumamoto,熊本
44,Oita,大分
45,Miyazaki,宮崎
46,Kagoshima,鹿児島
47,Okinawa,沖縄
