city,city_eng,population
足立区,Adachi-ku,"674,067"
荒川区,Arakawa-ku,"213,648"
文京区,Bunkyō-ku,"223,389"
千代田区,Chiyoda-ku,"59,441"
中央区,Chūō-ku,"147,620"
江戸川区,Edogawa-ku,"685,899"
板橋区,Itabashi-ku,"569,225"
葛飾区,Katsushika-ku,"447,140"
北区,Kita-ku,"345,063"
江東区,Kōtō-ku,"502,579"
目黒区,Meguro-ku,"280,283"
港区,Minato-ku,"248,071"
中野区,Nakano-ku,"332,902"
練馬区,Nerima-ku,"726,748"
大田区,Ōta-ku,"722,608"
世田谷区,Setagaya-ku,"910,868"
渋谷区,Shibuya-ku,"227,850"
品川区,Shinagawa-ku,"392,492"
新宿区,Shinjuku-ku,"339,211"
杉並区,Suginami-ku,"570,483"
墨田区,Sumida-ku,"260,358"
台東区,Taitō-ku,"200,486"
豊島区,Toshima-ku,"294,673"
